function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN02,Restart-Lander,current,0,500000,20,66,0.5500,0.5500,0.5500,0.5000,0.5000
M02-D10-PIN02,Restart-Lander,current,0,500000,20,57,0.6500,0.6500,0.6500,0.6500,0.5500
M03-D10-PIN02,Restart-Lander,current,0,500000,20,51,0.5500,0.5500,0.5000,0.5000,0.4500
M04-D10-PIN02,Restart-Lander,current,0,500000,20,100,0.7000,0.7000,0.7000,0.7000,0.7000
M05-D10-PIN02,Restart-Lander,current,0,500000,20,100,0.6000,0.6000,0.6000,0.6000,0.6000
M06-D10-PIN02,Restart-Lander,current,0,500000,20,100,0.4000,0.4000,0.4000,0.4000,0.4000
M07-D10-PIN02,Restart-Lander,current,0,500000,20,100,0.4500,0.4500,0.4500,0.4500,0.4000
M08-D10-PIN02,Restart-Lander,current,0,500000,20,100,0.6500,0.6500,0.6500,0.6500,0.6500
M09-D10-PIN02,Restart-Lander,current,0,500000,10,50,0.6000,0.6000,0.5000,0.5000,0.5000
M10-D10-PIN02,Restart-Lander,current,0,500000,10,40,0.8000,0.8000,0.8000,0.5000,0.3000
M11-D10-PIN02,Restart-Lander,current,0,500000,10,43,0.5000,0.5000,0.5000,0.4000,0.4000
M12-D10-PIN02,Restart-Lander,current,0,500000,10,60,0.8000,0.8000,0.8000,0.7000,0.7000
M13-D10-PIN02,Restart-Lander,current,0,500000,10,100,0.9000,0.9000,0.9000,0.9000,0.9000
M14-D10-PIN02,Restart-Lander,current,0,500000,10,100,0.3000,0.3000,0.3000,0.3000,0.3000
M15-D10-PIN02,Restart-Lander,current,0,500000,10,100,0.5000,0.5000,0.5000,0.5000,0.5000
M16-D10-PIN02,Restart-Lander,current,0,500000,10,100,0.5000,0.5000,0.5000,0.5000,0.5000
